,_id,addr:housenumber,addr:street,air_quality,amenity,area,bbox_id,building,building_centroid,closest_shop,cloud_cover,description,geometry,height,humidity,name,request_area_bottom_left,request_area_top_right,shops_amount,temperature
814,{'$oid': '5bd44c4847f89e35326a81a5'},,,81,,14.647154395109725,Berlin1,,"{'type': 'Point', 'coordinates': [13.242361636936147, 52.4158101057645]}",390,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2423786, 52.4158373], [13.2424049, 52.4158224], [13.2423446, 52.4157829], [13.2423184, 52.4157978], [13.2423786, 52.4158373]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",2,11.58
116,{'$oid': '5bd44c4847f89e35326a7eeb'},25,Albertinenstraße,81,,174.08355600174292,Berlin1,,"{'type': 'Point', 'coordinates': [13.24885949111831, 52.422690054271605]}",1043,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2487256, 52.4227211], [13.2487617, 52.4226291], [13.2488256, 52.4226385], [13.2488281, 52.4226324], [13.2488982, 52.4226428], [13.2488957, 52.4226495], [13.2490067, 52.4226658], [13.2489908, 52.4227064], [13.2489724, 52.4227037], [13.2489559, 52.4227455], [13.2488789, 52.4227342], [13.2488716, 52.4227527], [13.2488248, 52.4227459], [13.2488286, 52.4227362], [13.2487256, 52.4227211]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
778,{'$oid': '5bd44c4847f89e35326a8181'},,,81,,67.59985771163603,Berlin1,,"{'type': 'Point', 'coordinates': [13.240565017988656, 52.416380799642546]}",597,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.24049, 52.4164077], [13.240617, 52.4164223], [13.2406365, 52.4163595], [13.2406065, 52.4163561], [13.2406111, 52.4163411], [13.240568, 52.4163362], [13.2405633, 52.4163511], [13.2405094, 52.4163449], [13.24049, 52.4164077]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
1400,{'$oid': '5bd44c4847f89e35326a83ef'},,,81,,65.66021889911701,Berlin1,terrace,"{'type': 'Point', 'coordinates': [13.240793276398952, 52.42208059313845]}",1148,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2408631, 52.4221117], [13.2407224, 52.4221111], [13.2407232, 52.4220497], [13.2408641, 52.4220499], [13.2408631, 52.4221117]]]}",12.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
341,{'$oid': '5bd44c4847f89e35326a7fcc'},,,81,,112.84580899153534,Berlin1,,"{'type': 'Point', 'coordinates': [13.244899514463405, 52.41438534631711]}",295,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2448805, 52.4144573], [13.244998, 52.4143939], [13.2449514, 52.4143617], [13.2449717, 52.4143508], [13.2449109, 52.4143089], [13.2448422, 52.414346], [13.2448672, 52.4143632], [13.2447981, 52.4144005], [13.2448805, 52.4144573]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",2,11.58
19,{'$oid': '5bd44c4847f89e35326a7e8a'},,,81,,82.14661441107664,Berlin1,,"{'type': 'Point', 'coordinates': [13.247717387380865, 52.421140528304086]}",803,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2476302, 52.4211628], [13.2476443, 52.4211344], [13.2476636, 52.4210973], [13.2476674, 52.4210911], [13.2477989, 52.4211166], [13.2477811, 52.421151], [13.2478071, 52.4211561], [13.2477994, 52.4211709], [13.2477737, 52.4211661], [13.247762, 52.4211884], [13.2476302, 52.4211628]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
329,{'$oid': '5bd44c4847f89e35326a7fc0'},,,81,,159.16269721480032,Berlin1,,"{'type': 'Point', 'coordinates': [13.239546840518237, 52.414695971912344]}",736,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2394374, 52.4147494], [13.2396542, 52.4147409], [13.2396426, 52.414632], [13.2395447, 52.4146359], [13.2395471, 52.4146583], [13.2394283, 52.4146629], [13.2394374, 52.4147494]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
767,{'$oid': '5bd44c4847f89e35326a8176'},,,81,,100.52798736687564,Berlin1,,"{'type': 'Point', 'coordinates': [13.24049493803162, 52.41670839488276]}",614,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2405461, 52.4167645], [13.2405758, 52.4166673], [13.2404437, 52.4166523], [13.2404262, 52.4167099], [13.2404141, 52.4167495], [13.2405461, 52.4167645]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
1096,{'$oid': '5bd44c4847f89e35326a82bf'},59,Ernst-Lemmer-Ring,81,,77.04799775192593,Berlin1,,"{'type': 'Point', 'coordinates': [13.248258045106647, 52.42241468152873]}",1007,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2483406, 52.4224524], [13.2483481, 52.4224321], [13.2483701, 52.4224351], [13.2483798, 52.4224086], [13.2481475, 52.4223768], [13.2481365, 52.4224067], [13.2481802, 52.4224126], [13.2481739, 52.4224296], [13.2483406, 52.4224524]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
311,{'$oid': '5bd44c4847f89e35326a7fae'},,,81,,239.77891396843387,Berlin1,,"{'type': 'Point', 'coordinates': [13.245997698748369, 52.41583551653776]}",17,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2459903, 52.4157362], [13.245837, 52.415819], [13.2460051, 52.4159348], [13.2461584, 52.4158521], [13.2459903, 52.4157362]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",2,11.58
