,bbox_id,air_quality,area,closest_shop,cloud_cover,humidity,shops_amount,temperature,inappropriate_type,flat_roof,gabled_roof,round_roof,efficiency
0,Toronto2,85,1059.89036407267,142,0.63,0.73,17,10.38,0,0,0,0,8.0
1,Toronto2,85,58.5079471862242,141,0.63,0.73,16,10.37,0,1,0,0,7.0
2,Toronto2,75,6686.831338991279,36,0.63,0.72,26,10.56,0,0,0,0,7.0
3,Toronto2,75,25.507858008251098,146,0.63,0.72,52,10.56,0,0,0,0,5.0
4,Toronto2,81,112.67919701276101,408,0.63,0.72,1,10.52,0,1,0,0,8.0
5,Toronto2,85,25.983017281252398,472,0.63,0.73,5,10.37,0,0,0,0,6.0
6,Toronto2,74,335.138643155075,58,0.63,0.73,66,10.45,0,0,0,0,8.0
7,Toronto2,85,219.39392413795102,9,0.63,0.72,22,10.41,0,0,0,0,6.0
8,Toronto2,81,997.9831023994199,319,0.63,0.72,1,10.52,0,1,0,0,8.0
9,Toronto2,74,995.0607244561239,130,0.63,0.73,90,10.45,0,0,0,0,7.0
10,Toronto2,81,383.581743440842,150,0.63,0.72,1,10.52,0,0,0,0,7.0
11,Toronto2,85,1507.86686608051,81,0.63,0.73,14,10.44,0,0,0,0,8.0
12,Toronto2,85,89.59485805156609,1071,0.63,0.72,0,10.42,0,0,0,0,6.0
13,Toronto2,74,628.242745407722,53,0.63,0.73,74,10.45,0,0,0,0,7.0
14,Toronto2,85,535.890127824121,334,0.63,0.73,12,10.44,0,0,0,0,6.0
15,Toronto2,74,251.211417647279,41,0.63,0.73,121,10.45,0,0,1,0,6.0
16,Toronto2,85,622.181206096174,214,0.63,0.73,19,10.44,0,0,0,0,7.0
17,Toronto2,85,382.35712246166605,77,0.63,0.72,19,10.41,0,0,0,0,5.0
18,Toronto2,77,263.448396251019,61,0.62,0.72,13,10.56,1,0,0,0,0.0
19,Toronto2,85,328.800332594515,128,0.63,0.73,20,10.45,0,0,0,0,5.0
20,Toronto2,71,11986.4227624825,61,0.65,0.72,51,10.49,0,0,0,0,8.0
21,Toronto2,74,776.7098038024201,32,0.63,0.73,68,10.45,1,0,0,0,0.0
22,Toronto2,71,2000.8911154345199,26,0.65,0.72,143,10.49,0,0,0,0,7.0
23,Toronto2,85,66.1372386995835,1274,0.63,0.72,0,10.42,0,1,0,0,7.0
24,Toronto2,71,136.481892785575,138,0.63,0.72,46,10.5,0,0,0,0,7.0
25,Toronto2,85,49.41138145137529,300,0.63,0.73,2,10.37,0,0,0,0,6.0
26,Toronto2,85,1271.20884991691,95,0.63,0.73,16,10.44,0,0,0,0,6.0
27,Toronto2,71,1236.1037048625399,120,0.65,0.72,153,10.49,0,0,0,0,8.0
28,Toronto2,85,137.74266053889602,16,0.63,0.73,16,10.4,0,0,0,0,7.0
29,Toronto2,75,2846.39310367885,53,0.63,0.72,119,10.56,0,0,0,0,6.0
30,Toronto2,77,623.574476258653,40,0.62,0.72,78,10.56,0,0,1,0,7.0
31,Toronto2,85,1203.01475538806,15,0.63,0.72,19,10.41,0,0,0,0,7.0
32,Toronto2,85,255.45165384220797,85,0.63,0.73,18,10.45,0,1,0,0,8.0
33,Toronto2,85,38.9683914787114,598,0.63,0.73,0,10.37,0,0,0,1,6.0
34,Toronto2,74,2653.51267374684,94,0.63,0.73,10,10.45,0,1,0,0,8.0
35,Toronto2,83,484.57925816787997,126,0.63,0.73,62,10.43,0,0,0,0,6.0
36,Toronto2,85,1343.83580505703,865,0.63,0.73,0,10.36,0,1,0,0,6.0
37,Toronto2,74,557.977236321143,24,0.63,0.73,76,10.45,0,0,0,0,6.0
38,Toronto2,85,32.174397755815,612,0.63,0.73,0,10.37,0,1,0,0,5.0
39,Toronto2,85,415.63394421518205,58,0.63,0.73,18,10.45,0,1,0,0,8.0
40,Toronto2,77,1870.71273655375,218,0.62,0.72,36,10.56,0,0,0,0,8.0
41,Toronto2,83,518.334321903518,41,0.63,0.73,31,10.43,0,1,0,0,8.0
42,Toronto2,77,219.466576384399,125,0.62,0.72,69,10.56,0,0,0,0,6.0
43,Toronto2,85,770.30503136248,42,0.63,0.73,20,10.45,0,0,0,0,7.0
44,Toronto2,85,338.43954978731097,450,0.63,0.73,2,10.37,1,0,0,0,0.0
45,Toronto2,74,915.2454719475751,125,0.63,0.73,62,10.45,0,0,0,0,8.0
46,Toronto2,85,37.951771589009795,597,0.63,0.73,0,10.37,0,0,0,0,5.0
47,Toronto2,85,64.02503321168629,449,0.63,0.73,6,10.37,0,0,0,0,6.0
48,Toronto2,85,53.951205682726,74,0.63,0.73,15,10.4,0,0,0,0,7.0
49,Toronto2,74,191.66682668239602,67,0.63,0.73,70,10.45,0,0,0,0,6.0
50,Toronto2,77,1814.1281695432501,36,0.62,0.72,57,10.56,0,0,0,0,9.0
51,Toronto2,74,305.098431813851,53,0.63,0.73,70,10.45,0,0,0,0,7.0
52,Toronto2,71,4491.01125955411,88,0.65,0.72,122,10.49,0,0,0,0,7.0
53,Toronto2,74,683.124028788471,49,0.63,0.73,58,10.45,0,0,0,0,6.0
54,Toronto2,71,528.21070416299,78,0.63,0.72,21,10.5,0,0,0,0,8.0
55,Toronto2,85,41.7952581954404,600,0.63,0.73,0,10.37,0,0,0,0,6.0
56,Toronto2,71,1439.79028184406,30,0.65,0.72,70,10.49,0,0,0,0,7.0
57,Toronto2,85,111.18300150305599,252,0.63,0.73,10,10.4,0,0,0,0,5.0
58,Toronto2,74,245.111878308361,82,0.63,0.73,85,10.45,0,0,0,0,7.0
59,Toronto2,85,105.936572897178,41,0.63,0.73,25,10.4,0,0,0,0,5.0
60,Toronto2,85,101.328898616425,167,0.63,0.73,11,10.4,0,0,0,0,5.0
61,Toronto2,85,125.86433517258001,23,0.63,0.73,16,10.4,0,0,0,0,6.0
62,Toronto2,84,250.11336696447898,126,0.63,0.72,12,10.46,0,0,0,0,6.0
63,Toronto2,71,615.165835516219,32,0.63,0.72,45,10.5,0,0,0,0,6.0
64,Toronto2,85,271.892860597238,67,0.63,0.73,20,10.45,0,0,0,0,6.0
65,Toronto2,85,1503.71351094034,45,0.63,0.73,14,10.4,0,0,0,0,6.0
66,Toronto2,85,3886.50148779242,342,0.63,0.73,15,10.37,0,0,0,0,6.0
67,Toronto2,74,770.417677787199,56,0.63,0.73,110,10.45,0,1,0,0,8.0
68,Toronto2,85,56.4689764542038,343,0.63,0.73,18,10.37,0,1,0,0,7.0
69,Toronto2,83,78.0104617837231,76,0.63,0.73,61,10.43,0,0,0,0,8.0
70,Toronto2,74,144.760499017223,54,0.63,0.73,69,10.45,0,0,0,0,7.0
71,Toronto2,71,1671.28210538715,36,0.65,0.72,70,10.49,0,0,0,0,8.0
72,Toronto2,74,417.767106623614,7,0.63,0.73,139,10.45,0,0,0,0,7.0
73,Toronto2,85,664.953803234479,1495,0.63,0.72,0,10.46,0,0,0,0,6.0
74,Toronto2,85,65.8437851613944,570,0.63,0.73,0,10.37,0,0,0,0,5.0
75,Toronto2,74,24.4902416708923,43,0.63,0.73,125,10.45,0,0,0,0,5.0
76,Toronto2,74,268.478747591375,17,0.63,0.73,72,10.45,0,0,0,0,6.0
77,Toronto2,71,1478.16900723471,80,0.63,0.72,26,10.5,0,0,0,0,8.0
78,Toronto2,85,114.97905688350599,523,0.63,0.73,0,10.37,0,0,0,0,6.0
79,Toronto2,74,4490.2272641526,37,0.63,0.73,71,10.45,0,0,0,0,8.0
80,Toronto2,74,875.255198364784,23,0.63,0.73,112,10.45,0,0,0,0,6.0
81,Toronto2,71,1979.47702911117,92,0.65,0.72,49,10.49,0,0,0,0,9.0
82,Toronto2,85,330.075545981228,20,0.63,0.73,10,10.4,0,0,0,0,7.0
83,Toronto2,85,71.57955383326859,499,0.63,0.73,1,10.37,0,0,0,0,5.0
84,Toronto2,85,501.230605582603,391,0.63,0.73,8,10.37,0,0,0,0,5.0
85,Toronto2,83,4014.93584849516,51,0.63,0.73,43,10.43,0,0,0,0,9.0
86,Toronto2,74,286.95367785872503,46,0.63,0.73,77,10.45,0,0,0,0,7.0
87,Toronto2,74,255.418100990947,32,0.63,0.73,127,10.45,0,0,0,0,6.0
88,Toronto2,71,1408.00694288738,64,0.65,0.72,136,10.49,0,0,0,0,6.0
89,Toronto2,85,23.9546433204625,141,0.63,0.73,16,10.37,0,0,0,0,6.0
90,Toronto2,74,331.706697683226,54,0.63,0.73,92,10.45,0,0,0,0,7.0
91,Toronto2,85,56.6588188381275,401,0.63,0.73,15,10.37,0,0,0,0,6.0
92,Toronto2,74,403.932325022656,15,0.63,0.73,66,10.45,0,0,0,0,7.0
93,Toronto2,84,375.69818689954,119,0.63,0.72,12,10.46,0,0,0,0,6.0
94,Toronto2,84,245.70064786157602,106,0.63,0.72,13,10.46,0,0,0,0,5.0
95,Toronto2,85,3483.03372979258,113,0.63,0.73,26,10.44,0,1,0,0,9.0
96,Toronto2,85,181.32397455244998,336,0.63,0.72,1,10.5,0,0,0,0,8.0
