,_id,addr:housenumber,addr:street,air_quality,amenity,area,bbox_id,building,building_centroid.coordinates.0,building_centroid.coordinates.1,building_centroid.type,closest_shop,cloud_cover,description,geometry.coordinates.0.0.0,geometry.coordinates.0.0.1,geometry.coordinates.0.1.0,geometry.coordinates.0.1.1,geometry.coordinates.0.10.0,geometry.coordinates.0.10.1,geometry.coordinates.0.11.0,geometry.coordinates.0.11.1,geometry.coordinates.0.12.0,geometry.coordinates.0.12.1,geometry.coordinates.0.2.0,geometry.coordinates.0.2.1,geometry.coordinates.0.3.0,geometry.coordinates.0.3.1,geometry.coordinates.0.4.0,geometry.coordinates.0.4.1,geometry.coordinates.0.5.0,geometry.coordinates.0.5.1,geometry.coordinates.0.6.0,geometry.coordinates.0.6.1,geometry.coordinates.0.7.0,geometry.coordinates.0.7.1,geometry.coordinates.0.8.0,geometry.coordinates.0.8.1,geometry.coordinates.0.9.0,geometry.coordinates.0.9.1,geometry.type,height,humidity,name,request_area_bottom_left.coordinates.0,request_area_bottom_left.coordinates.1,request_area_bottom_left.type,request_area_top_right.coordinates.0,request_area_top_right.coordinates.1,request_area_top_right.type,shops_amount,temperature
101,5bd44a27aef2f0451bff5866,19,,62,cinema,914.2951363500869,Kyiv1,,30.51969834322743,50.43828471761263,Point,24,0.54,,30.519644899999996,50.4384914,30.519694800000003,50.4384454,30.5194682,50.4384138,30.519530699999997,50.4384412,30.519598699999996,50.438471,30.519838800000002,50.4383124,30.5198995,50.4383391,30.520013,50.4382343,30.519663300000005,50.438080600000006,30.5195481,50.438187,30.5196044,50.438211700000004,30.5194745,50.438331700000006,30.519412199999998,50.4383892,Polygon,9.0,0.73,Кінопанорама,30.506201,50.432388,Point,30.520749,50.440698,Point,61.0,8.91
239,5bd44a27aef2f0451bff58f0,,,62,,674.0446821136887,Kyiv1,,30.515761044260593,50.440707888388005,Point,51,0.54,,30.515778700000002,50.4408725,30.515765000000002,50.4408402,30.515969000000002,50.4407367,30.5159933,50.4407941,30.5160098,50.4408329,30.515698999999998,50.4408516,30.5156777,50.4408013,30.515653399999998,50.440805499999996,30.5155965,50.440671,30.515562300000003,50.4405902,30.515611699999997,50.4405507,30.5157827,50.4405213,30.515880199999998,50.440751899999995,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,30.0,8.91
212,5bd44a27aef2f0451bff58d5,36,Велика Васильківська вулиця,62,,459.0543266015888,Kyiv1,,30.515701653728428,50.43781042419778,Point,11,0.54,,30.5158223,50.4379315,30.5158217,50.4378672,,,,,,,30.5158201,50.4376885,30.515581,50.4376894,30.5155832,50.4379323,30.5158223,50.4379315,,,,,,,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,65.0,8.91
240,5bd44a27aef2f0451bff58f1,38,Пушкінська вулиця,62,,373.83344947443885,Kyiv1,,30.516086279647517,50.44066500404947,Point,22,0.54,,30.5159933,50.4407941,30.515969000000002,50.4407367,,,,,,,30.516020899999997,50.4407278,30.515955199999997,50.4405613,30.5160042,50.4405529,30.516136499999998,50.440530200000005,30.5161413,50.4405422,30.5162157,50.44071470000001,30.516229499999998,50.4407535,30.5159933,50.4407941,Polygon,12.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,32.0,8.91
26,5bd44a27aef2f0451bff581b,5,Тарасівська вулиця,71,,453.04748099645514,Kyiv1,,30.507915662408838,50.438854065980756,Point,72,0.54,,30.507771999999996,50.4386988,30.507931699999997,50.4386742,,,,,,,30.5080614,50.439006899999995,30.5078961,50.4390325,30.507771999999996,50.4386988,,,,,,,,,,,Polygon,15.0,0.73,"Адміністративний корпус ""Е"" НУХТ",30.506201,50.432388,Point,30.520749,50.440698,Point,22.0,8.98
362,5bd44a27aef2f0451bff596b,,,71,,1065.395278764719,Kyiv1,,30.510156799999994,50.43329545,Point,128,0.54,,30.509748699999996,50.4333774,30.5105642,50.43337879999999,,,,,,,30.5105649,50.4332135,30.5097494,50.433212100000006,30.509748699999996,50.4333774,,,,,,,,,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,10.0,8.98
295,5bd44a27aef2f0451bff5928,,,62,,3727.6510493362593,Kyiv1,,30.51675912484427,50.4374469057536,Point,104,0.54,,30.5163417,50.43772979999999,30.5163501,50.4371591,,,,,,,30.5171765,50.437164,30.517168199999997,50.4377347,30.5163417,50.43772979999999,,,,,,,,,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,81.0,8.91
343,5bd44a27aef2f0451bff5958,41в,Саксаганського вулиця,62,,913.771463496078,Kyiv1,,30.511780812440428,50.43535719111087,Point,12,0.54,,30.5114086,50.4353963,30.5118097,50.4353976,30.511751500000003,50.4352095,30.511502500000002,50.435205700000004,30.5115,50.4352714,30.511868800000002,50.4353985,30.5118653,50.4354929,30.5122,50.435497999999995,30.5122047,50.4353718,30.511864199999998,50.4353666,30.511867699999996,50.4352744,30.5118154,50.4352736,30.511749199999997,50.435272600000005,Polygon,18.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,40.0,8.91
115,5bd44a27aef2f0451bff5874,31а,,62,,440.1988031403135,Kyiv1,,30.518785382207433,50.437235477598584,Point,40,0.54,,30.5186318,50.437325799999996,30.5186355,50.43714979999999,30.5186318,50.437325799999996,,,,,30.518635800000002,50.4371336,30.5188545,50.43713579999999,30.518854100000002,50.4371532,30.5188531,50.437196899999996,30.5189858,50.4371981,30.5189835,50.437295299999995,30.5188753,50.437294200000004,30.5188745,50.4373281,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,74.0,8.91
173,5bd44a27aef2f0451bff58ae,18б,,62,,175.4448735804267,Kyiv1,,30.51893561901888,50.439008524608774,Point,67,0.54,,30.5189106,50.439100399999994,30.519067699999997,50.438967600000005,,,,,,,30.5189601,50.438916799999994,30.5188038,50.4390494,30.5189106,50.439100399999994,,,,,,,,,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,56.0,8.91
