,air_quality,area,bbox_id,closest_shop,cloud_cover,humidity,shops_amount,temperature,roof_tupe
2000,74,45.8864681147387,London1,134,0.56,0.77,10,10.61,gabled
2001,73,59.4773225810196,London1,25,0.56,0.77,38,10.57,
2002,74,1500.68654812937,London1,50,0.56,0.77,42,10.61,
2003,73,115.817029865673,London1,199,0.56,0.77,25,10.57,flat
2004,74,33.3206799153384,London1,132,0.56,0.77,15,10.61,
2005,74,65.4800127705135,London1,265,0.56,0.77,21,10.61,
2006,73,63.0636404465077,London1,220,0.56,0.77,5,10.57,
2007,74,337.958286209718,London1,117,0.56,0.77,22,10.61,
2008,73,226.675414798235,London1,165,0.56,0.77,24,10.57,
2009,73,484.088332568752,London1,158,0.56,0.77,29,10.57,
2010,74,234.569287,London1,271,0.56,0.77,22,10.61,
2011,73,2941.26603447602,London1,203,0.56,0.77,13,10.57,
2012,73,62.6415558393246,London1,50,0.56,0.77,39,10.57,
2013,73,94.743843975232,London1,29,0.56,0.77,36,10.57,
2014,74,53.3907615124891,London1,187,0.56,0.77,38,10.61,
2015,74,49.929275650277,London1,35,0.56,0.77,21,10.61,
2016,74,64.5933131245951,London1,59,0.56,0.77,3,10.61,
2017,74,124.362260405772,London1,237,0.56,0.77,9,10.61,
2018,73,42.8600846111503,London1,141,0.56,0.77,3,10.57,gabled
2019,73,170.331294998713,London1,318,0.56,0.77,8,10.57,
2020,73,62.2719626352846,London1,19,0.56,0.77,31,10.57,
2021,74,31.5930582226739,London1,159,0.56,0.77,9,10.61,flat
2022,74,213.072779938049,London1,263,0.56,0.77,8,10.61,
2023,74,144.813213745326,London1,113,0.56,0.77,10,10.61,
2024,73,102.042854495197,London1,96,0.56,0.77,36,10.57,
2025,73,59.2084539705851,London1,62,0.56,0.77,41,10.57,
2026,73,41.0837734180237,London1,193,0.56,0.77,7,10.57,
2027,73,56.6265522967575,London1,178,0.56,0.77,3,10.57,
2028,73,55.026953726215,London1,32,0.56,0.77,12,10.57,
2029,73,118.977921461053,London1,201,0.56,0.77,4,10.57,
2030,73,73.0107105577072,London1,48,0.56,0.77,12,10.57,flat
2031,73,56.8474341324787,London1,38,0.56,0.77,39,10.57,flat
2032,73,145.098450877781,London1,213,0.56,0.77,23,10.57,
2033,73,53.532605818112,London1,195,0.56,0.77,5,10.57,flat
2034,73,60.3492837866883,London1,183,0.56,0.77,4,10.57,
2035,74,897.947844461017,London1,82,0.56,0.77,9,10.61,
2036,74,58.7485633575499,London1,76,0.56,0.77,14,10.61,
2037,74,699.434638364949,London1,43,0.56,0.77,8,10.61,
2038,74,1259.50622548153,London1,105,0.56,0.77,43,10.61,
2039,74,133.564674483466,London1,176,0.56,0.77,9,10.61,
2040,74,143.5424448872,London1,118,0.56,0.77,39,10.61,
2041,73,113.497402061651,London1,229,0.56,0.77,20,10.57,
2042,73,121.3652067527,London1,155,0.56,0.77,28,10.57,
2043,73,72.1207576764052,London1,207,0.56,0.77,5,10.57,gabled
2044,73,50.827223684705,London1,30,0.56,0.77,12,10.57,
2045,73,52.3804052834089,London1,32,0.56,0.77,40,10.57,
2046,73,139.112301245465,London1,178,0.56,0.77,4,10.57,flat
2047,74,121.495418595738,London1,149,0.56,0.77,39,10.61,
2048,73,987.30992496232,London1,105,0.56,0.77,12,10.57,
2049,74,194.256444084731,London1,145,0.56,0.77,8,10.61,
2050,74,83.2789532477558,London1,165,0.56,0.77,39,10.61,flat
2051,73,2550.75589152566,London1,81,0.56,0.77,37,10.57,
2052,73,48.3496791406393,London1,152,0.56,0.77,4,10.57,
2053,74,65.3183514299635,London1,67,0.56,0.77,3,10.61,
2054,73,64.8907173334661,London1,148,0.56,0.77,4,10.57,
2055,74,382.553530309809,London1,174,0.56,0.77,26,10.61,
2056,74,97.0012854642773,London1,106,0.56,0.77,12,10.61,
2057,73,57.4271411696871,London1,29,0.56,0.77,31,10.57,round
2058,74,464.014586630237,London1,71,0.56,0.77,45,10.61,
2059,74,920.359722263343,London1,252,0.56,0.77,15,10.61,
2060,74,4835.41223567046,London1,186,0.56,0.77,12,10.61,
2061,73,191.799535638246,London1,168,0.56,0.77,10,10.57,gabled
2062,73,84.9058454528714,London1,33,0.56,0.77,36,10.57,
2063,74,51.70619056421,London1,166,0.56,0.77,9,10.61,
2064,73,1989.56146879486,London1,14,0.56,0.77,42,10.57,
2065,74,45.8801030924716,London1,151,0.56,0.77,10,10.61,gabled
2066,73,119.41632663557,London1,230,0.56,0.77,7,10.57,
2067,74,398.418644721684,London1,65,0.56,0.77,37,10.61,
2068,73,54.9662892253894,London1,190,0.56,0.77,4,10.57,
2069,74,362.79993865332,London1,143,0.56,0.77,4,10.61,
2070,73,53.7881546145518,London1,164,0.56,0.77,4,10.57,
2071,74,278.924491958289,London1,61,0.56,0.77,31,10.61,
2072,73,974.979236004388,London1,84,0.56,0.77,35,10.57,
2073,74,870.658429486915,London1,21,0.56,0.77,18,10.61,
2074,73,167.458791091186,London1,47,0.56,0.77,42,10.57,
2075,73,51.8259058012037,London1,11,0.56,0.77,37,10.57,inappropriate
2076,73,158.357041114458,London1,178,0.56,0.77,10,10.57,
2077,73,31.0652278725925,London1,13,0.56,0.77,12,10.57,
2078,74,539.457184044388,London1,159,0.56,0.77,9,10.61,flat
2079,74,60.0021530908369,London1,41,0.56,0.77,23,10.61,
2080,74,969.109847479636,London1,174,0.56,0.77,9,10.61,
2081,74,48.6221622524563,London1,168,0.56,0.77,9,10.61,
2082,73,96.2170372458971,London1,85,0.56,0.77,37,10.57,
2083,73,58.4720194211652,London1,48,0.56,0.77,11,10.57,
2084,73,74.9461279447332,London1,99,0.56,0.77,41,10.57,
2085,74,38.0601945970016,London1,30,0.56,0.77,30,10.61,
2086,73,41.500347323831,London1,90,0.56,0.77,12,10.57,
2087,73,5990.76712384027,London1,118,0.56,0.77,26,10.57,
2088,73,38.5031403289464,London1,7,0.56,0.77,12,10.57,
2089,73,187.104810201862,London1,38,0.56,0.77,14,10.57,
2090,73,99.6510480251298,London1,50,0.56,0.77,38,10.57,round
2091,74,68.7511847878405,London1,50,0.56,0.77,26,10.61,
2092,73,91.2336130654303,London1,193,0.56,0.77,10,10.57,
2093,73,52.7679540158235,London1,24,0.56,0.77,12,10.57,
2094,74,0.017298791116846,London1,45,0.56,0.77,31,10.61,
2095,73,1482.57812878446,London1,154,0.56,0.77,14,10.57,
2096,73,112.328240335763,London1,217,0.56,0.77,7,10.57,
2097,73,43.5567118720092,London1,59,0.56,0.77,11,10.57,
2098,73,38.0380187146239,London1,107,0.56,0.77,36,10.57,
2099,73,75.3616808293804,London1,109,0.56,0.77,3,10.57,
2100,74,202.743941668134,London2,207,0.56,0.77,14,10.57,
2101,74,54.3004912722372,London2,45,0.56,0.77,9,10.57,
2102,74,743.720513991595,London2,279,0.56,0.77,11,10.57,
2103,74,147.143053479078,London2,121,0.56,0.77,8,10.57,
2104,74,56.351627765317,London2,135,0.56,0.77,17,10.57,
2105,80,750.370264637202,London2,398,0.56,0.77,3,10.55,flat
2106,74,97.3010486932254,London2,47,0.56,0.77,12,10.57,flat
2107,80,357.114188645556,London2,401,0.56,0.77,2,10.55,round
