,Unnamed: 0,Unnamed: 0.1,bbox_id,air_quality,area,closest_shop,cloud_cover,humidity,shops_amount,temperature,inappropriate_type,flat_roof,gabled_roof,round_roof
0,0,1000,Lviv1,74,903.923515649662,213,0.73,0.76,1.0,8.14,0,0,0,0
1,1,1001,Lviv1,74,206.80042887069698,704,0.73,0.76,0.0,8.18,0,0,0,0
2,2,1002,Lviv1,65,44.7519862114758,583,0.73,0.76,0.0,8.13,0,0,0,0
3,3,1003,Lviv1,69,710.994153315538,204,0.73,0.76,1.0,8.18,0,0,0,0
4,4,1004,Lviv1,74,1069.2235670297698,339,0.73,0.77,4.0,8.01,0,0,0,0
5,5,1005,Lviv1,74,1141.86466071054,568,0.73,0.76,0.0,8.07,0,0,0,0
6,6,1006,Lviv1,74,298.535881930725,71,0.73,0.76,1.0,8.14,0,0,0,0
7,7,1007,Lviv1,74,1906.8571096209305,49,0.73,0.76,8.0,8.18,0,0,0,0
8,8,1008,Lviv1,74,80.41940425217129,119,0.73,0.77,4.0,8.01,0,0,0,0
9,9,1009,Lviv1,74,189.15669800461998,964,0.73,0.76,0.0,8.15,0,0,1,0
10,10,1010,Lviv1,74,386.2248315872,499,0.73,0.77,1.0,8.01,0,0,0,0
11,11,1011,Lviv1,74,407.458788766091,237,0.73,0.76,2.0,8.18,0,0,0,0
12,12,1012,Lviv1,65,441.526546136559,98,0.73,0.76,4.0,8.13,0,0,0,0
13,13,1013,Lviv1,74,71.4304983635125,300,0.73,0.77,6.0,8.01,0,0,0,0
14,14,1014,Lviv1,74,4629.26942877244,364,0.73,0.77,5.0,8.01,0,0,0,0
15,15,1015,Lviv1,65,420.63591850129995,378,0.73,0.76,1.0,8.13,0,0,0,0
16,16,1016,Lviv1,65,73.94006768894691,503,0.73,0.76,0.0,8.13,0,0,0,0
17,17,1017,Lviv1,74,180.36336516803001,711,0.73,0.76,0.0,8.15,0,0,0,0
18,18,1018,Lviv1,74,164.180481463804,1117,0.73,0.76,0.0,8.15,0,0,0,0
19,19,1019,Lviv1,65,241.76460751818598,288,0.73,0.76,2.0,8.07,0,1,0,0
20,20,1020,Lviv1,74,186.379566241003,647,0.73,0.76,0.0,8.18,0,0,0,0
21,21,1021,Lviv1,74,97.77460852726307,13,0.73,0.76,2.0,8.18,0,0,0,0
22,22,1022,Lviv1,74,741.6884183896159,403,0.73,0.76,1.0,8.07,0,0,0,0
23,23,1023,Lviv1,74,333.107763521061,389,0.73,0.76,2.0,8.18,0,0,0,0
24,24,1024,Lviv1,65,287.373422734723,149,0.73,0.76,7.0,8.07,0,1,0,0
25,25,1025,Lviv1,65,238.854616624693,374,0.73,0.76,2.0,8.07,1,0,0,0
26,26,1026,Lviv1,74,169.63025017806,292,0.73,0.76,1.0,8.18,0,0,0,0
27,27,1027,Lviv1,68,211.548538761694,148,0.73,0.76,9.0,8.14,0,0,0,0
28,28,1028,Lviv1,69,1657.5228277190195,270,0.73,0.76,2.0,8.18,0,0,1,0
29,29,1029,Lviv1,74,112.921779054862,893,0.73,0.76,0.0,8.15,0,0,0,0
30,30,1030,Lviv1,65,134.207737164794,646,0.73,0.76,0.0,8.13,0,0,0,0
31,31,1031,Lviv1,74,456.40876808238295,312,0.73,0.76,1.0,8.08,0,0,0,0
32,32,1032,Lviv1,65,161.400526952578,273,0.73,0.76,1.0,8.13,0,0,0,0
33,33,1033,Lviv1,65,82.0703188450328,142,0.73,0.76,7.0,8.07,1,0,0,0
34,34,1034,Lviv1,74,954.9405808485401,116,0.73,0.77,5.0,8.01,0,0,0,0
35,35,1035,Lviv1,74,221.497804363326,740,0.73,0.76,0.0,8.18,0,1,0,0
36,36,1036,Lviv1,74,131.622230017029,329,0.73,0.76,1.0,8.18,0,0,0,0
37,37,1037,Lviv1,74,448.032443853356,671,0.73,0.76,0.0,8.07,0,0,0,0
38,38,1038,Lviv1,74,1345.1757635267,283,0.73,0.76,4.0,8.18,0,0,0,0
39,39,1039,Lviv1,65,12.124783934748399,72,0.73,0.76,4.0,8.07,0,0,0,0
40,40,1040,Lviv1,74,46.513257648420804,862,0.73,0.76,0.0,8.15,0,0,0,0
41,41,1041,Lviv1,74,583.780330201908,173,0.73,0.76,3.0,8.18,0,0,0,0
42,42,1042,Lviv1,74,175.931538962478,445,0.73,0.76,1.0,8.18,0,0,0,0
43,43,1043,Lviv1,65,597.8568900317459,322,0.73,0.76,6.0,8.07,0,0,1,0
44,44,1044,Lviv1,74,611.4394759605281,293,0.73,0.77,5.0,8.01,0,0,0,1
45,45,1045,Lviv1,74,1083.1267184806402,615,0.73,0.76,0.0,8.18,0,0,0,0
46,46,1046,Lviv1,74,726.513182107059,133,0.73,0.76,1.0,8.18,0,1,0,0
47,47,1047,Lviv1,74,57.0284288549944,497,0.73,0.77,1.0,8.01,0,0,0,0
48,48,1048,Lviv1,74,1880.61004906757,273,0.73,0.76,1.0,8.18,0,0,0,0
49,49,1049,Lviv1,74,164.01662972486602,512,0.73,0.76,0.0,8.18,0,0,0,0
50,50,1050,Lviv1,74,107.35988802338801,628,0.73,0.76,0.0,8.08,0,0,0,0
51,51,1051,Lviv1,65,310.39805311544103,551,0.73,0.76,0.0,8.13,0,0,0,0
52,52,1052,Lviv1,69,1154.69125855515,231,0.73,0.76,1.0,8.18,0,0,0,0
53,53,1053,Lviv1,74,98.424274959561,673,0.73,0.76,0.0,8.08,0,0,0,0
54,54,1054,Lviv1,74,91.45299249379309,576,0.73,0.76,0.0,8.14,0,0,0,0
55,55,1055,Lviv1,74,834.324985907015,130,0.73,0.76,6.0,8.18,0,0,0,0
