,air_quality,area,bbox_id,closest_shop,cloud_cover,humidity,shops_amount,temperature,roof_tupe
6002,73,129.614227101369,NY1,19,0.57,0.71,37,,
6003,80,1126.54754370409,NY1,15,0.58,0.71,109,,inappropriate
6004,73,220.214769346257,NY1,35,0.57,0.71,54,,
6005,73,177.273211844254,NY1,5,0.57,0.71,37,,
6006,73,453.727791557489,NY1,33,0.57,0.71,46,,
6007,80,1558.23800437289,NY1,21,0.58,0.71,86,,
6008,80,811.8185382047,NY1,59,0.58,0.71,117,,
6009,73,326.745740202188,NY1,9,0.57,0.71,109,,gabled
6010,73,171.280240569101,NY1,58,0.57,0.71,39,,
6011,73,1059.32574961723,NY1,38,0.57,0.71,104,,
6012,80,1516.69983569521,NY1,47,0.58,0.71,98,,
6013,73,190.686433200303,NY1,32,0.57,0.71,43,,
6014,80,273.739683141977,NY1,100,0.58,0.71,80,,inappropriate
6015,73,1470.98592993207,NY1,59,0.57,0.71,79,,
6016,73,203.841835873968,NY1,48,0.57,0.71,39,,
6017,80,1378.58376484958,NY1,71,0.58,0.71,70,,
6018,80,1595.72289435699,NY1,12,0.58,0.71,95,,
6019,80,1200.2682621453,NY1,28,0.58,0.71,93,,
6020,80,241.80308841098,NY1,67,0.58,0.71,145,,
6021,80,1755.00154294281,NY1,33,0.58,0.71,85,,
6022,73,166.175270598501,NY1,71,0.57,0.71,38,,
6023,73,414.448532135383,NY1,62,0.57,0.71,47,,flat
6024,80,1247.79205570662,NY1,16,0.58,0.71,98,,
6025,73,171.697749916614,NY1,40,0.57,0.71,39,,
6026,73,226.067562207239,NY1,49,0.57,0.71,48,,flat
6027,73,221.921734258776,NY1,30,0.57,0.71,24,,
6028,80,1187.21319169452,NY1,42,0.58,0.71,109,,gabled
6029,80,230.072407978745,NY1,7,0.58,0.71,89,,
6030,73,2895.97931967886,NY1,34,0.57,0.71,90,,
6031,80,617.578558235636,NY1,17,0.58,0.71,146,,
6032,80,350.809766303038,NY1,18,0.58,0.71,136,,
6033,73,168.106223826125,NY1,65,0.57,0.71,38,,
6034,80,898.26220580347,NY1,54,0.58,0.71,113,,
6035,73,145.607329975746,NY1,51,0.57,0.71,39,,
6036,73,188.507266810899,NY1,53,0.57,0.71,61,,
6037,73,379.713537860914,NY1,30,0.57,0.71,59,,
6038,73,918.173083807481,NY1,20,0.57,0.71,41,,
6039,73,508.942356277237,NY1,22,0.57,0.71,39,,
6040,88,413.763431413649,NY1,32,0.58,0.71,60,,
6041,73,375.31742750146,NY1,59,0.57,0.71,39,,
6042,80,1402.98492184256,NY1,62,0.58,0.71,133,,
6043,88,248.20384639433,NY1,210,0.58,0.71,30,,
6044,73,923.294178134971,NY1,49,0.57,0.71,17,,
6045,80,958.357730010218,NY1,16,0.58,0.71,110,,
6046,73,282.020602843724,NY1,47,0.57,0.71,37,,flat
6047,80,692.76307978854,NY1,19,0.58,0.71,134,,inappropriate
6048,73,374.251004169176,NY1,87,0.57,0.71,86,,
6049,80,508.073429095766,NY1,9,0.58,0.71,134,,
6050,73,345.736415866215,NY1,12,0.57,0.71,36,,
6051,73,92.5116402361113,NY1,10,0.57,0.71,110,,
6052,73,283.920913907658,NY1,12,0.57,0.71,37,,round
6053,80,670.949196612182,NY1,22,0.58,0.71,142,,
6054,88,1066.46732647307,NY1,109,0.58,0.71,25,,
6055,73,165.336911610951,NY1,82,0.57,0.71,53,,
6056,73,359.117286896611,NY1,87,0.57,0.71,36,,
6057,73,551.650471922298,NY1,78,0.57,0.71,83,,
6058,73,703.634928372698,NY1,19,0.57,0.71,37,,
6059,73,1056.27756820983,NY1,96,0.57,0.71,53,,
6060,73,814.397289089385,NY1,84,0.57,0.71,36,,
6061,80,786.335195303745,NY1,92,0.58,0.71,94,,
6062,80,1891.70859632154,NY1,52,0.58,0.71,95,,
6063,73,231.644486344695,NY1,46,0.57,0.71,45,,
6064,80,1360.66389477769,NY1,27,0.58,0.71,93,,
6065,80,324.936632964664,NY1,6,0.58,0.71,123,,
6066,80,131.72745149866,NY1,11,0.58,0.71,92,,
6067,73,485.159427231129,NY1,84,0.57,0.71,36,,
6068,80,379.369161426075,NY1,20,0.58,0.71,53,,
6069,88,6667.84543745428,NY1,51,0.58,0.71,12,,
6070,73,475.855563220174,NY1,55,0.57,0.71,38,,
6071,73,582.233943515884,NY1,12,0.57,0.71,107,,
6072,80,3150.60701140266,NY1,41,0.58,0.71,156,,
6073,73,167.073488422687,NY1,13,0.57,0.71,42,,
6074,80,2110.83012482668,NY1,49,0.58,0.71,85,,
6075,80,4418.2580066163,NY1,39,0.58,0.71,113,,
6076,73,227.950973488708,NY1,33,0.57,0.71,37,,
6077,73,661.027703782275,NY1,32,0.57,0.71,122,,
6078,80,14.0086949351727,NY1,13,0.58,0.71,160,,inappropriate
6079,80,358.523781467947,NY1,22,0.58,0.71,160,,gabled
6080,80,333.18204407423,NY1,54,0.58,0.71,124,,flat
6081,80,634.373271697805,NY1,26,0.58,0.71,113,,
6082,73,251.945559912327,NY1,21,0.57,0.71,45,,
6083,80,190.303906843484,NY1,19,0.58,0.71,66,,
6084,80,462.822450412135,NY1,52,0.58,0.71,104,,
6085,80,373.325432508341,NY1,15,0.58,0.71,67,,
6086,73,448.173748542189,NY1,44,0.57,0.71,38,,
6087,73,365.410808743846,NY1,41,0.57,0.71,43,,
6088,73,1540.28764187494,NY1,39,0.57,0.71,52,,
6089,80,398.992262128328,NY1,16,0.58,0.71,91,,
6090,73,1192.37579227803,NY1,37,0.57,0.71,30,,
6091,80,1789.22667955337,NY1,44,0.58,0.71,127,,
6092,73,243.712556225922,NY1,17,0.57,0.71,109,,flat
6093,88,188.480531858551,NY1,21,0.58,0.71,36,,
6094,73,316.853084389783,NY1,60,0.57,0.71,37,,
6095,73,147.745821796452,NY1,76,0.57,0.71,37,,
6096,73,418.867243589194,NY1,39,0.57,0.71,37,,
6097,73,385.552309456605,NY1,69,0.57,0.71,40,,
6098,80,1086.6125353783,NY1,56,0.58,0.71,146,,gabled
6099,73,224.213582495586,NY1,12,0.57,0.71,82,,
6100,80,88.8869624423279,NY2,225,0.57,0.72,20,,
6101,80,257.179320636705,NY2,245,0.57,0.72,24,,
6102,80,516.164858786472,NY2,58,0.57,0.72,19,,
6103,80,119.350505908497,NY2,311,0.57,0.72,13,,
