,_id,addr:housenumber,addr:street,air_quality,amenity,area,bbox_id,building,building_centroid,closest_shop,cloud_cover,description,geometry,height,humidity,name,request_area_bottom_left,request_area_top_right,shops_amount,shops_count,temperature
298,{'$oid': '5bd44a65c6b61430207da1f8'},195,Broadway,73,,3423.9759400177063,NY1,,"{'type': 'Point', 'coordinates': [-74.00978367174514, 40.710867103004944]}",33,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0102548, 40.711095], [-74.0100254, 40.7109899], [-74.0099109, 40.7111336], [-74.0098859, 40.7111649], [-74.009877, 40.7111761], [-74.0092501, 40.7108891], [-74.0094957, 40.710581], [-74.0095387, 40.710527], [-74.010395, 40.7109191], [-74.0103698, 40.7109507], [-74.0102548, 40.711095]]]}",114.0,0.71,195 Broadway,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",82.0,,12.3
160,{'$oid': '5bd44a65c6b61430207da16e'},,,73,,126.14011991865056,NY1,,"{'type': 'Point', 'coordinates': [-74.0100620521243, 40.714765374680695]}",76,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.010152, 40.7147138], [-74.0101166, 40.7147594], [-74.0100818, 40.7148042], [-74.0100468, 40.7148492], [-74.0099727, 40.7148158], [-74.0100763, 40.7146825], [-74.010152, 40.7147138]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",38.0,,12.3
104,{'$oid': '5bd44a65c6b61430207da136'},94,Reade Street,73,,129.6142271013685,NY1,,"{'type': 'Point', 'coordinates': [-74.00784519999999, 40.71575535]}",19,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0078584, 40.7156716], [-74.0079354, 40.7157063], [-74.007832, 40.7158391], [-74.007755, 40.7158044], [-74.0078584, 40.7156716]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",37.0,,12.3
337,{'$oid': '5bd44a65c6b61430207da21f'},30,Broad Street,80,,1126.547543704091,NY1,,"{'type': 'Point', 'coordinates': [-74.011654122822, 40.70627790485979]}",15,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.0119367, 40.7062636], [-74.0118253, 40.7064825], [-74.011365, 40.7062869], [-74.0114916, 40.7060748], [-74.0115158, 40.7060854], [-74.0115375, 40.7060948], [-74.0115429, 40.7060972], [-74.0115669, 40.7061076], [-74.0118179, 40.7062143], [-74.0118798, 40.7062406], [-74.0118855, 40.706243], [-74.0118988, 40.7062484], [-74.0119193, 40.7062566], [-74.0119367, 40.7062636]]]}",15.0,0.71,Continental Bank Building,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",109.0,,12.32
557,{'$oid': '5bd44a65c6b61430207da2fb'},19,Murray Street,73,,220.2147693462573,NY1,,"{'type': 'Point', 'coordinates': [-74.0081135, 40.71372845]}",35,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0081708, 40.7135926], [-74.0082433, 40.7136255], [-74.0080562, 40.7138643], [-74.0079837, 40.7138314], [-74.0081708, 40.7135926]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",54.0,,12.3
113,{'$oid': '5bd44a65c6b61430207da13f'},,,73,,177.2732118442539,NY1,,"{'type': 'Point', 'coordinates': [-74.00877694425957, 40.71577730299812]}",5,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.008809, 40.7156704], [-74.0088867, 40.7157062], [-74.0087448, 40.7158842], [-74.0086672, 40.7158484], [-74.0087996, 40.7156823], [-74.008809, 40.7156704]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",37.0,,12.3
563,{'$oid': '5bd44a65c6b61430207da301'},265,Broadway,73,,453.72779155748935,NY1,,"{'type': 'Point', 'coordinates': [-74.00680048282926, 40.71406464256243]}",33,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0066924, 40.7139379], [-74.0068125, 40.7139933], [-74.006992, 40.714076], [-74.0070182, 40.7140881], [-74.0069718, 40.7141415], [-74.0069643, 40.714138], [-74.0069359, 40.714125], [-74.0068985, 40.714172], [-74.0068871, 40.7141863], [-74.0066758, 40.714089], [-74.0065999, 40.714054], [-74.0066924, 40.7139379]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",46.0,,12.3
447,{'$oid': '5bd44a65c6b61430207da28d'},,,80,,1558.2380043728867,NY1,,"{'type': 'Point', 'coordinates': [-74.00633146729662, 40.704919886737095]}",21,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.0061677, 40.7048594], [-74.0061615, 40.7048553], [-74.0061966, 40.7048241], [-74.0061858, 40.7048172], [-74.0062448, 40.7047655], [-74.0062546, 40.704757], [-74.0062771, 40.7047374], [-74.0062907, 40.7047256], [-74.0063112, 40.7047078], [-74.0063144, 40.7047049], [-74.0063257, 40.7046951], [-74.0063357, 40.7046865], [-74.0063462, 40.7046773], [-74.0063609, 40.7046645], [-74.0066842, 40.7048724], [-74.0062652, 40.7051613], [-74.0062323, 40.7051433], [-74.0059842, 40.7050072], [-74.0061677, 40.7048594]]]}",15.0,0.71,110 Wall Street,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",86.0,,12.32
535,{'$oid': '5bd44a65c6b61430207da2e5'},,,80,,811.8185382047002,NY1,,"{'type': 'Point', 'coordinates': [-74.00621987194287, 40.707716754645446]}",59,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.0062813, 40.7075315], [-74.0064495, 40.7076531], [-74.0063732, 40.7077108], [-74.0064222, 40.7077483], [-74.0063072, 40.7078352], [-74.0062523, 40.7077932], [-74.006126, 40.7078888], [-74.005963, 40.7077723], [-74.0062813, 40.7075315]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",117.0,,12.32
259,{'$oid': '5bd44a65c6b61430207da1d1'},11,Maiden Lane,73,,326.74574020218813,NY1,,"{'type': 'Point', 'coordinates': [-74.00926086896987, 40.70964586375518]}",9,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0091321, 40.7097047], [-74.0091079, 40.7096915], [-74.0091322, 40.7096656], [-74.0091447, 40.7096523], [-74.0092183, 40.7095741], [-74.0092521, 40.7095381], [-74.0092686, 40.7095206], [-74.009419, 40.7096176], [-74.0093366, 40.7097168], [-74.0092109, 40.7096483], [-74.009167, 40.7096949], [-74.0092489, 40.7097395], [-74.0092079, 40.7097831], [-74.0091323, 40.709742], [-74.0091118, 40.7097263], [-74.0091321, 40.7097047]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",109.0,,12.3
80,{'$oid': '5bd44a65c6b61430207da11e'},118,Chambers Street,73,,171.2802405691012,NY1,,"{'type': 'Point', 'coordinates': [-74.00863471310906, 40.71502441287687]}",58,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0086634, 40.7149207], [-74.0087415, 40.7149564], [-74.0086061, 40.7151281], [-74.0085279, 40.7150924], [-74.0086634, 40.7149207]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",39.0,,12.3
257,{'$oid': '5bd44a65c6b61430207da1cf'},176,Broadway,73,,1059.3257496172255,NY1,,"{'type': 'Point', 'coordinates': [-74.00950849461393, 40.70983818677682]}",38,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0092562, 40.709871], [-74.0093527, 40.7097549], [-74.0093246, 40.7097415], [-74.0093426, 40.7097196], [-74.0093366, 40.7097168], [-74.009419, 40.7096176], [-74.0096574, 40.7097334], [-74.0096051, 40.7097964], [-74.0097677, 40.7098746], [-74.0096237, 40.7100479], [-74.0093898, 40.7099353], [-74.0093297, 40.7099064], [-74.0092562, 40.709871]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",104.0,,12.3
283,{'$oid': '5bd44a65c6b61430207da1e9'},,,80,,1516.6998356952085,NY1,,"{'type': 'Point', 'coordinates': [-74.0114722135119, 40.708938807661816]}",47,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.0111027, 40.7086788], [-74.011951, 40.709057], [-74.0118418, 40.7091988], [-74.0109935, 40.7088207], [-74.0111027, 40.7086788]]]}",86.0,0.71,United States Realty Building,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",98.0,,12.32
565,{'$oid': '5bd44a65c6b61430207da303'},88,Chambers Street,73,,190.6864332003028,NY1,,"{'type': 'Point', 'coordinates': [-74.00735016342465, 40.714437266870924]}",32,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.007379, 40.7143292], [-74.0073842, 40.7143315], [-74.0074627, 40.7143677], [-74.0073213, 40.7145454], [-74.0072376, 40.7145068], [-74.0072495, 40.7144919], [-74.0072749, 40.71446], [-74.0072867, 40.7144451], [-74.0072986, 40.7144302], [-74.007379, 40.7143292]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",43.0,,12.3
597,{'$oid': '5bd44a65c6b61430207da323'},161,Front Street,80,,273.7396831419768,NY1,,"{'type': 'Point', 'coordinates': [-74.00494592193874, 40.705895510645895]}",100,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.0050178, 40.7060189], [-74.0051017, 40.7059613], [-74.0050644, 40.7059295], [-74.0048969, 40.7057909], [-74.0048725, 40.7057726], [-74.0047899, 40.7058304], [-74.0048128, 40.7058493], [-74.0049803, 40.7059879], [-74.0050178, 40.7060189]]]}",30.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",80.0,,12.32
194,{'$oid': '5bd44a65c6b61430207da190'},225,Broadway,73,,1470.9859299320674,NY1,,"{'type': 'Point', 'coordinates': [-74.0086526441132, 40.7119925279211]}",59,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0089911, 40.7119937], [-74.008799, 40.7122247], [-74.0083142, 40.7119912], [-74.0085062, 40.7117604], [-74.008554, 40.7117834], [-74.0086215, 40.7118159], [-74.008722, 40.7118643], [-74.0089911, 40.7119937]]]}",75.0,0.71,Transportation Building,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",79.0,,12.3
190,{'$oid': '5bd44a65c6b61430207da18c'},57,Warren Street,73,,203.84183587396825,NY1,,"{'type': 'Point', 'coordinates': [-74.00947769428714, 40.71462875010888]}",48,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0095155, 40.7145119], [-74.0095964, 40.7145492], [-74.0095775, 40.7145729], [-74.0095606, 40.7145941], [-74.0094399, 40.7147456], [-74.009359, 40.7147083], [-74.0095155, 40.7145119]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",39.0,,12.3
386,{'$oid': '5bd44a65c6b61430207da250'},29,Broadway,80,,1378.5837648495803,NY1,,"{'type': 'Point', 'coordinates': [-74.01359045335259, 40.70615427430234]}",71,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.0133566, 40.7059511], [-74.0134692, 40.7059899], [-74.0139507, 40.7061558], [-74.0138, 40.7063716], [-74.0137776, 40.7063626], [-74.0137671, 40.7063588], [-74.0137538, 40.7063531], [-74.0137396, 40.7063474], [-74.0136878, 40.7063246], [-74.0135963, 40.7062847], [-74.0135793, 40.7062773], [-74.0134241, 40.7062096], [-74.0132419, 40.7061302], [-74.0132152, 40.7061185], [-74.0132987, 40.7060196], [-74.0133566, 40.7059511]]]}",15.0,0.71,29 Broadway,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",70.0,,12.32
393,{'$oid': '5bd44a65c6b61430207da257'},,,80,,1595.7228943569894,NY1,,"{'type': 'Point', 'coordinates': [-74.01265473853603, 40.707324263204576]}",12,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.0124032, 40.7070772], [-74.0125293, 40.7071362], [-74.0126437, 40.7071897], [-74.0128402, 40.7072816], [-74.0129545, 40.7073351], [-74.0130557, 40.7073824], [-74.0130058, 40.7074528], [-74.0129688, 40.7075052], [-74.0129215, 40.707572], [-74.0129122, 40.7075678], [-74.012723, 40.7074824], [-74.0126089, 40.7074309], [-74.0122539, 40.7072706], [-74.0122489, 40.7072684], [-74.012301, 40.7072038], [-74.0123433, 40.7071514], [-74.0124032, 40.7070772]]]}",89.0,0.71,65 Broadway,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",95.0,,12.32
390,{'$oid': '5bd44a65c6b61430207da254'},50,Broadway,80,,1200.2682621452998,NY1,,"{'type': 'Point', 'coordinates': [-74.01243476555044, 40.706233111331066]}",28,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.0122279, 40.706017], [-74.01228, 40.7060403], [-74.0123233, 40.7060597], [-74.0123638, 40.7060778], [-74.0124203, 40.7061031], [-74.0125895, 40.7061788], [-74.0126443, 40.7062033], [-74.0127245, 40.7062392], [-74.0127612, 40.7062556], [-74.0126131, 40.7064429], [-74.0125752, 40.7064255], [-74.0124389, 40.7063627], [-74.0123055, 40.7063024], [-74.0121804, 40.7062448], [-74.0121409, 40.7062266], [-74.0121297, 40.7062215], [-74.0122279, 40.706017]]]}",15.0,0.71,50 Broadway,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",93.0,,12.32
331,{'$oid': '5bd44a65c6b61430207da219'},,,80,,241.80308841097954,NY1,,"{'type': 'Point', 'coordinates': [-74.01025180153385, 40.70656143068473]}",67,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.010206, 40.7066792], [-74.0103425, 40.706551], [-74.0103657, 40.7065155], [-74.010302, 40.7064931], [-74.0104133, 40.7064097], [-74.0103833, 40.7063975], [-74.0103624, 40.7064158], [-74.0103216, 40.7064516], [-74.0102477, 40.7065164], [-74.0102346, 40.7065077], [-74.0101108, 40.706616], [-74.010206, 40.7066792]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",145.0,,12.32
