,air_quality,area,bbox_id,closest_shop,cloud_cover,humidity,shops_amount,temperature,roof_tupe
7003,87,114.421508901137,Seattle1,402,0.6,0.81,1,,
7004,87,84.8590584576093,Seattle1,517,0.6,0.81,0,,
7005,87,94.6466166086476,Seattle1,810,0.6,0.81,0,,
7006,87,192.924140118373,Seattle1,706,0.6,0.81,0,,
7007,87,114.864509587468,Seattle1,824,0.6,0.81,0,,flat
7008,87,49.2465901865452,Seattle1,789,0.6,0.81,0,,
7009,87,131.016733932605,Seattle1,1292,0.6,0.81,0,,flat
7010,87,115.291492659684,Seattle1,722,0.6,0.81,0,,
7011,87,355.847417878209,Seattle1,284,0.6,0.81,1,,
7012,87,171.748989802109,Seattle1,512,0.6,0.81,0,,
7013,87,21.6507643887853,Seattle1,1082,0.6,0.81,0,,
7014,87,154.733900680937,Seattle1,148,0.6,0.81,1,,
7015,87,114.327873352779,Seattle1,788,0.6,0.81,0,,
7016,87,121.948422095899,Seattle1,402,0.6,0.81,1,,
7017,87,23.4746645230965,Seattle1,400,0.6,0.81,1,,
7018,87,179.209963413462,Seattle1,1109,0.6,0.81,0,,
7019,87,188.406399619544,Seattle1,559,0.6,0.81,0,,
7020,87,36.8384574444407,Seattle1,770,0.6,0.81,0,,
7021,87,167.868232182475,Seattle1,272,0.6,0.81,1,,
7022,87,88.1355988573467,Seattle1,470,0.6,0.81,1,,flat
7023,87,33.5184283337944,Seattle1,409,0.6,0.81,1,,
7024,87,79.9023898026778,Seattle1,848,0.6,0.81,0,,flat
7025,87,264.474191962701,Seattle1,269,0.6,0.81,1,,
7026,87,256.709306540865,Seattle1,514,0.6,0.81,0,,
7027,87,121.461541851501,Seattle1,1201,0.6,0.81,0,,
7028,87,122.2086235978,Seattle1,442,0.6,0.81,1,,
7029,87,131.599903802606,Seattle1,1180,0.6,0.81,0,,
7030,87,218.684774788966,Seattle1,1328,0.6,0.81,0,,
7031,87,193.744682533496,Seattle1,1328,0.6,0.81,0,,
7032,87,118.266706112628,Seattle1,826,0.6,0.81,0,,flat
7033,87,293.261915156087,Seattle1,311,0.6,0.81,1,,
7034,87,155.913677685198,Seattle1,449,0.6,0.81,1,,
7035,87,159.908837214891,Seattle1,463,0.6,0.81,1,,
7036,87,61.5672709453416,Seattle1,466,0.6,0.81,1,,
7037,87,98.0763649717442,Seattle1,371,0.6,0.81,1,,gabled
7038,87,173.089528237632,Seattle1,902,0.6,0.81,0,,flat
7039,87,30.0601902094929,Seattle1,693,0.6,0.81,0,,
7040,87,200.214548693684,Seattle1,236,0.6,0.81,1,,
7041,87,136.547645970883,Seattle1,1026,0.6,0.81,0,,round
7042,87,152.822238747966,Seattle1,422,0.6,0.81,1,,
7043,87,159.191275352349,Seattle1,1083,0.6,0.81,0,,
7044,87,169.700193514563,Seattle1,1013,0.6,0.81,0,,
7045,87,158.476754875942,Seattle1,1318,0.6,0.81,0,,
7046,87,129.843290099774,Seattle1,1009,0.6,0.81,0,,
7047,87,97.8066644187656,Seattle1,477,0.6,0.81,1,,
7048,87,108.106244911611,Seattle1,357,0.6,0.81,1,,
7049,87,93.6652649401887,Seattle1,952,0.6,0.81,0,,
7050,87,1383.07003868732,Seattle1,426,0.6,0.81,1,,
7051,87,133.941668193459,Seattle1,346,0.6,0.81,1,,
7052,87,162.821214996267,Seattle1,210,0.6,0.81,1,,
7053,87,179.082848188808,Seattle1,342,0.6,0.81,1,,
7054,87,239.246571598513,Seattle1,355,0.6,0.81,1,,
7055,87,227.624698298415,Seattle1,217,0.6,0.81,1,,flat
7056,87,157.922777871757,Seattle1,1357,0.6,0.81,0,,inappropriate
7057,87,137.540966178041,Seattle1,382,0.6,0.81,1,,
7058,87,73.4544362458206,Seattle1,688,0.6,0.81,0,,
7059,87,151.624734520258,Seattle1,647,0.6,0.81,0,,inappropriate
7060,87,150.772638412188,Seattle1,635,0.6,0.81,0,,
7061,87,178.507952127922,Seattle1,565,0.6,0.81,0,,
