,Unnamed: 0,Unnamed: 0.1,bbox_id,air_quality,area,closest_shop,cloud_cover,humidity,shops_amount,temperature,inappropriate_type,flat_roof,gabled_roof,round_roof
0,0,1000,Seattle1,87,180.926417620075,1283,0.6,0.81,0.0,10.76,0,1,0,0
1,1,1001,Seattle1,87,119.98841209084298,893,0.6,0.81,0.0,10.76,0,0,0,0
2,2,1002,Seattle1,87,36.425071046978296,908,0.6,0.81,0.0,10.76,0,0,0,0
3,3,1003,Seattle1,87,114.421508901137,402,0.6,0.81,1.0,10.72,0,0,0,0
4,4,1004,Seattle1,87,84.8590584576093,517,0.6,0.81,0.0,10.72,0,0,0,0
5,5,1005,Seattle1,87,94.64661660864759,810,0.6,0.81,0.0,10.76,0,0,0,0
6,6,1006,Seattle1,87,192.924140118373,706,0.6,0.81,0.0,10.76,0,0,0,0
7,7,1007,Seattle1,87,114.86450958746799,824,0.6,0.81,0.0,10.76,0,0,0,0
8,8,1008,Seattle1,87,49.2465901865452,789,0.6,0.81,0.0,10.76,0,0,0,0
9,9,1009,Seattle1,87,131.016733932605,1292,0.6,0.81,0.0,10.76,0,0,0,0
10,10,1010,Seattle1,87,115.291492659684,722,0.6,0.81,0.0,10.76,0,0,0,0
11,11,1011,Seattle1,87,355.847417878209,284,0.6,0.81,1.0,10.72,1,0,0,0
12,12,1012,Seattle1,87,171.74898980210898,512,0.6,0.81,0.0,10.72,0,1,0,0
13,13,1013,Seattle1,87,21.6507643887853,1082,0.6,0.81,0.0,10.76,0,0,0,0
14,14,1014,Seattle1,87,154.733900680937,148,0.6,0.81,1.0,10.72,0,0,0,0
15,15,1015,Seattle1,87,114.32787335277901,788,0.6,0.81,0.0,10.76,0,0,0,0
16,16,1016,Seattle1,87,121.94842209589899,402,0.6,0.81,1.0,10.72,0,0,0,0
17,17,1017,Seattle1,87,23.4746645230965,400,0.6,0.81,1.0,10.72,0,0,0,0
18,18,1018,Seattle1,87,179.209963413462,1109,0.6,0.81,0.0,10.76,0,0,0,1
19,19,1019,Seattle1,87,188.406399619544,559,0.6,0.81,0.0,10.72,0,0,0,0
20,20,1020,Seattle1,87,36.83845744444072,770,0.6,0.81,0.0,10.76,0,0,0,0
21,21,1021,Seattle1,87,167.868232182475,272,0.6,0.81,1.0,10.72,0,0,0,0
22,22,1022,Seattle1,87,88.13559885734671,470,0.6,0.81,1.0,10.72,0,0,0,0
23,23,1023,Seattle1,87,33.5184283337944,409,0.6,0.81,1.0,10.72,0,0,0,0
24,24,1024,Seattle1,87,79.90238980267779,848,0.6,0.81,0.0,10.76,0,0,0,0
25,25,1025,Seattle1,87,264.474191962701,269,0.6,0.81,1.0,10.72,0,0,0,0
26,26,1026,Seattle1,87,256.709306540865,514,0.6,0.81,0.0,10.72,0,0,0,0
27,27,1027,Seattle1,87,121.46154185150101,1201,0.6,0.81,0.0,10.76,0,0,0,0
28,28,1028,Seattle1,87,122.20862359780001,442,0.6,0.81,1.0,10.72,0,0,0,0
29,29,1029,Seattle1,87,131.59990380260598,1180,0.6,0.81,0.0,10.76,0,1,0,0
30,30,1030,Seattle1,87,218.684774788966,1328,0.6,0.81,0.0,10.76,0,0,0,0
31,31,1031,Seattle1,87,193.74468253349602,1328,0.6,0.81,0.0,10.76,1,0,0,0
32,32,1032,Seattle1,87,118.266706112628,826,0.6,0.81,0.0,10.76,0,0,0,0
33,33,1033,Seattle1,87,293.261915156087,311,0.6,0.81,1.0,10.72,0,0,0,0
34,34,1034,Seattle1,87,155.913677685198,449,0.6,0.81,1.0,10.72,0,0,0,0
35,35,1035,Seattle1,87,159.908837214891,463,0.6,0.81,1.0,10.72,0,0,0,0
