,Unnamed: 0,Unnamed: 0.1,bbox_id,air_quality,area,closest_shop,cloud_cover,humidity,shops_amount,temperature,inappropriate_type,flat_roof,gabled_roof,round_roof
0,0,1000,Stockholm1,78,116.461632841702,1852,0.59,0.78,0,7.45,0,0,0,0
1,1,1001,Stockholm1,78,503.96315710867896,2305,0.59,0.78,0,7.48,0,1,0,0
2,2,1002,Stockholm1,78,103.95491869207,1178,0.59,0.78,0,7.45,0,0,0,0
3,3,1003,Stockholm1,78,150.327012546049,871,0.59,0.78,0,7.47,0,0,0,0
4,4,1004,Stockholm1,78,30.9467748266961,1695,0.59,0.78,0,7.45,0,0,0,0
5,5,1005,Stockholm1,78,126.554103270847,1377,0.59,0.78,0,7.45,0,0,0,0
6,6,1006,Stockholm1,78,341.63735266296004,3109,0.59,0.78,0,7.46,0,0,0,0
7,7,1007,Stockholm1,78,89.1493500762944,2172,0.59,0.78,0,7.43,0,0,0,0
8,8,1008,Stockholm1,78,22.139201076052107,1360,0.59,0.78,0,7.43,0,0,0,0
9,9,1009,Stockholm1,78,33.661990818885,1878,0.59,0.78,0,7.43,0,0,0,0
10,10,1010,Stockholm1,78,94.1950050523777,688,0.59,0.78,0,7.47,0,0,0,0
11,11,1011,Stockholm1,78,90.96614906807079,2414,0.59,0.78,0,7.43,0,1,0,0
12,12,1012,Stockholm1,78,94.2953447377771,1553,0.59,0.78,0,7.43,0,0,0,0
13,13,1013,Stockholm1,78,128.725565161694,1693,0.59,0.78,0,7.43,0,0,0,0
14,14,1014,Stockholm1,78,10.9281453047163,1324,0.59,0.78,0,7.45,0,0,0,0
15,15,1015,Stockholm1,78,71.4707927222699,833,0.59,0.78,0,7.45,0,0,0,0
16,16,1016,Stockholm1,78,153.114119683978,1519,0.59,0.78,0,7.45,0,0,0,0
17,17,1017,Stockholm1,78,27.149078255429,1756,0.59,0.78,0,7.43,0,0,0,0
18,18,1018,Stockholm1,78,82.63805045861,1333,0.59,0.78,0,7.45,0,1,0,0
19,19,1019,Stockholm1,78,77.38564922855,1408,0.59,0.78,0,7.45,0,0,0,0
20,20,1020,Stockholm1,78,174.79989151241,1186,0.59,0.78,0,7.45,1,0,0,0
21,21,1021,Stockholm1,78,93.7490389999835,739,0.59,0.78,0,7.47,0,0,0,0
22,22,1022,Stockholm1,78,90.96674296598827,2345,0.59,0.78,0,7.43,0,0,0,1
23,23,1023,Stockholm1,78,114.458398780822,2056,0.59,0.78,0,7.43,0,0,0,0
24,24,1024,Stockholm1,78,36.7874160732225,1598,0.59,0.78,0,7.43,0,0,0,0
25,25,1025,Stockholm1,78,109.953721872143,1305,0.59,0.78,0,7.45,0,1,0,0
26,26,1026,Stockholm1,78,98.6839465452133,1822,0.59,0.78,0,7.43,0,0,0,0
27,27,1027,Stockholm1,78,85.988259709685,1577,0.59,0.78,0,7.43,0,0,0,0
28,28,1028,Stockholm1,78,79.79619027211291,517,0.59,0.78,0,7.47,0,0,0,0
29,29,1029,Stockholm1,78,944.4229045864888,2876,0.59,0.78,0,7.46,0,1,0,0
30,30,1030,Stockholm1,78,151.197332160217,1136,0.59,0.78,0,7.45,0,0,0,0
31,31,1031,Stockholm1,78,132.47080678680402,2310,0.59,0.78,0,7.48,0,0,0,0
32,32,1032,Stockholm1,78,100.77325961719102,720,0.59,0.78,0,7.47,0,0,0,0
33,33,1033,Stockholm1,78,31.75660354609669,1868,0.59,0.78,0,7.43,0,0,0,0
34,34,1034,Stockholm1,78,63.7654371175058,838,0.59,0.78,0,7.45,0,0,0,0
35,35,1035,Stockholm1,78,134.044261555583,2160,0.59,0.78,0,7.48,0,0,0,0
36,36,1036,Stockholm1,78,16.874065331019402,719,0.59,0.78,0,7.45,0,0,0,0
37,37,1037,Stockholm1,78,164.761148143513,935,0.59,0.78,0,7.47,0,0,0,0
38,38,1038,Stockholm1,78,392.66926115874605,1822,0.59,0.78,0,7.48,0,0,0,0
39,39,1039,Stockholm1,78,79.6873284390213,1927,0.59,0.78,0,7.43,0,0,0,0
40,40,1040,Stockholm1,78,100.784276917906,1843,0.59,0.78,0,7.45,0,0,1,0
41,41,1041,Stockholm1,78,1630.53176024771,2617,0.59,0.78,0,7.46,0,0,0,0
42,42,1042,Stockholm1,78,25.352046638966602,595,0.59,0.78,0,7.47,0,0,0,0
43,43,1043,Stockholm1,78,130.426501251084,1454,0.59,0.78,0,7.45,0,0,0,0
44,44,1044,Stockholm1,78,15.739808281943901,1585,0.59,0.78,0,7.43,0,0,0,0
45,45,1045,Stockholm1,78,92.5085852369211,458,0.59,0.78,1,7.47,0,0,0,0
